trial_id,status,duration_s,cfg_chain_length,cfg_difficulty,cfg_keep_fraction,cfg_strategy,metric_answer_correct,metric_quality_cosine,metric_quality_mse,metric_tokens_kept,metric_tokens_removed,metric_tokens_removed_pct
reasoning_token_waste_t0001,completed,0.0006,50,easy,0.1,keep_first,1.0,0.9621597528457642,0.00029562710551545024,5,45,90.0
reasoning_token_waste_t0002,completed,0.0002,50,easy,0.2,keep_first,1.0,0.9896100759506226,8.117092511383817e-05,10,40,80.0
reasoning_token_waste_t0003,completed,0.0001,50,easy,0.3,keep_first,1.0,0.9999998807907104,0.0,15,35,70.0
reasoning_token_waste_t0004,completed,0.0001,50,easy,0.4,keep_first,1.0,0.995807409286499,3.275501512689516e-05,20,30,60.0
reasoning_token_waste_t0005,completed,0.0001,50,easy,0.5,keep_first,1.0,0.9923602938652039,5.968555706203915e-05,25,25,50.0
reasoning_token_waste_t0006,completed,0.0001,50,easy,0.6,keep_first,1.0,0.9891622066497803,8.467142470180988e-05,30,20,40.0
reasoning_token_waste_t0007,completed,0.0002,50,easy,0.7,keep_first,1.0,0.9870767593383789,0.00010096262849401683,35,15,30.000000000000004
reasoning_token_waste_t0008,completed,0.0001,50,easy,0.8,keep_first,1.0,0.983970046043396,0.00012523469922598451,40,10,19.999999999999996
reasoning_token_waste_t0009,completed,0.0001,50,easy,0.9,keep_first,1.0,0.9829691052436829,0.00013305386528372765,45,5,9.999999999999998
reasoning_token_waste_t0010,completed,0.0001,50,easy,1.0,keep_first,1.0,0.981325626373291,0.00014589339843951166,50,0,0.0
reasoning_token_waste_t0011,completed,0.0001,50,easy,0.1,keep_last,0.0,0.6685193777084351,0.002589692361652851,5,45,90.0
reasoning_token_waste_t0012,completed,0.0001,50,easy,0.2,keep_last,0.0,0.5693514943122864,0.0033644409850239754,10,40,80.0
reasoning_token_waste_t0013,completed,0.0001,50,easy,0.3,keep_last,0.0,0.5567722320556641,0.0034627169370651245,15,35,70.0
reasoning_token_waste_t0014,completed,0.0002,50,easy,0.4,keep_last,0.0,0.7120977640151978,0.002249235985800624,20,30,60.0
reasoning_token_waste_t0015,completed,0.0001,50,easy,0.5,keep_last,0.0,0.6614028215408325,0.002645289758220315,25,25,50.0
reasoning_token_waste_t0016,completed,0.0001,50,easy,0.6,keep_last,0.0,0.6524093151092529,0.0027155522257089615,30,20,40.0
reasoning_token_waste_t0017,completed,0.0001,50,easy,0.7,keep_last,0.0,0.7417480945587158,0.002017592778429389,35,15,30.000000000000004
reasoning_token_waste_t0018,completed,0.0001,50,easy,0.8,keep_last,0.0,0.7454311847686768,0.0019888184033334255,40,10,19.999999999999996
reasoning_token_waste_t0019,completed,0.0001,50,easy,0.9,keep_last,0.0,0.7399151921272278,0.0020319123286753893,45,5,9.999999999999998
reasoning_token_waste_t0020,completed,0.0001,50,easy,1.0,keep_last,1.0,0.981325626373291,0.00014589339843951166,50,0,0.0
reasoning_token_waste_t0021,completed,0.0001,50,easy,0.1,remove_middle,1.0,0.9621597528457642,0.00029562710551545024,5,45,90.0
reasoning_token_waste_t0022,completed,0.0002,50,easy,0.2,remove_middle,1.0,0.9563210010528564,0.0003412427322473377,10,40,80.0
reasoning_token_waste_t0023,completed,0.0001,50,easy,0.3,remove_middle,1.0,0.9537454843521118,0.00036136346170678735,15,35,70.0
reasoning_token_waste_t0024,completed,0.0001,50,easy,0.4,remove_middle,1.0,0.9554198980331421,0.0003482821921352297,20,30,60.0
reasoning_token_waste_t0025,completed,0.0001,50,easy,0.5,remove_middle,1.0,0.952672004699707,0.0003697499632835388,25,25,50.0
reasoning_token_waste_t0026,completed,0.0002,50,easy,0.6,remove_middle,1.0,0.950874924659729,0.00038379026227630675,30,20,40.0
reasoning_token_waste_t0027,completed,0.0001,50,easy,0.7,remove_middle,1.0,0.9524966478347778,0.00037112022982910275,35,15,30.000000000000004
reasoning_token_waste_t0028,completed,0.0001,50,easy,0.8,remove_middle,0.0,0.9498559236526489,0.0003917503636330366,40,10,19.999999999999996
reasoning_token_waste_t0029,completed,0.0001,50,easy,0.9,remove_middle,1.0,0.9594482183456421,0.00031681114342063665,45,5,9.999999999999998
reasoning_token_waste_t0030,completed,0.0001,50,easy,1.0,remove_middle,1.0,0.981325626373291,0.00014589339843951166,50,0,0.0
reasoning_token_waste_t0031,completed,0.0040,50,easy,0.1,importance_sample,1.0,0.9621597528457642,0.00029562710551545024,5,45,90.0
reasoning_token_waste_t0032,completed,0.0002,50,easy,0.2,importance_sample,1.0,0.9756797552108765,0.00019000208703801036,10,40,80.0
reasoning_token_waste_t0033,completed,0.0007,50,easy,0.3,importance_sample,1.0,0.9859877824783325,0.00010947106056846678,15,35,70.0
reasoning_token_waste_t0034,completed,0.0002,50,easy,0.4,importance_sample,1.0,0.9921545386314392,6.129306711954996e-05,20,30,60.0
reasoning_token_waste_t0035,completed,0.0003,50,easy,0.5,importance_sample,1.0,0.9906561970710754,7.299807475646958e-05,25,25,50.0
reasoning_token_waste_t0036,completed,0.0002,50,easy,0.6,importance_sample,1.0,0.9897304177284241,8.023137343116105e-05,30,20,40.0
reasoning_token_waste_t0037,completed,0.0002,50,easy,0.7,importance_sample,1.0,0.9870575070381165,0.00010111248411703855,35,15,30.000000000000004
reasoning_token_waste_t0038,completed,0.0005,50,easy,0.8,importance_sample,1.0,0.986001193523407,0.00010936585022136569,40,10,19.999999999999996
reasoning_token_waste_t0039,completed,0.0002,50,easy,0.9,importance_sample,1.0,0.9840539693832397,0.00012457800039555877,45,5,9.999999999999998
reasoning_token_waste_t0040,completed,0.0003,50,easy,1.0,importance_sample,1.0,0.981325626373291,0.00014589339843951166,50,0,0.0
reasoning_token_waste_t0041,completed,0.0001,100,easy,0.1,keep_first,1.0,0.9795091152191162,0.00016008582315407693,10,90,90.0
reasoning_token_waste_t0042,completed,0.0001,100,easy,0.2,keep_first,1.0,0.9948201179504395,4.046761750942096e-05,20,80,80.0
reasoning_token_waste_t0043,completed,0.0002,100,easy,0.3,keep_first,1.0,1.0000001192092896,0.0,30,70,70.0
reasoning_token_waste_t0044,completed,0.0001,100,easy,0.4,keep_first,1.0,0.9939577579498291,4.7205328883137554e-05,40,60,60.0
reasoning_token_waste_t0045,completed,0.0001,100,easy,0.5,keep_first,1.0,0.9869515299797058,0.00010194141214014962,50,50,50.0
reasoning_token_waste_t0046,completed,0.0001,100,easy,0.6,keep_first,1.0,0.9804691076278687,0.00015258560597430915,60,40,40.0
reasoning_token_waste_t0047,completed,0.0002,100,easy,0.7,keep_first,1.0,0.9779850840568542,0.0001719922584015876,70,30,30.000000000000004
reasoning_token_waste_t0048,completed,0.0001,100,easy,0.8,keep_first,1.0,0.9748163223266602,0.0001967480347957462,80,20,19.999999999999996
reasoning_token_waste_t0049,completed,0.0001,100,easy,0.9,keep_first,1.0,0.9698175191879272,0.00023580114066135138,90,10,9.999999999999998
reasoning_token_waste_t0050,completed,0.0001,100,easy,1.0,keep_first,1.0,0.9710813164710999,0.00022592746245209128,100,0,0.0
reasoning_token_waste_t0051,completed,0.0001,100,easy,0.1,keep_last,0.0,0.6132802367210388,0.003021248383447528,10,90,90.0
reasoning_token_waste_t0052,completed,0.0001,100,easy,0.2,keep_last,0.0,0.4700392186641693,0.004140318371355534,20,80,80.0
reasoning_token_waste_t0053,completed,0.0001,100,easy,0.3,keep_last,0.0,0.4591093063354492,0.004225708544254303,30,70,70.0
reasoning_token_waste_t0054,completed,0.0001,100,easy,0.4,keep_last,0.0,0.6332659125328064,0.0028651102911680937,40,60,60.0
reasoning_token_waste_t0055,completed,0.0002,100,easy,0.5,keep_last,0.0,0.591141939163208,0.0031942042987793684,50,50,50.0
reasoning_token_waste_t0056,completed,0.0001,100,easy,0.6,keep_last,0.0,0.5622867941856384,0.003419634187594056,60,40,40.0
reasoning_token_waste_t0057,completed,0.0002,100,easy,0.7,keep_last,0.0,0.6891915798187256,0.0024281912483274937,70,30,30.000000000000004
reasoning_token_waste_t0058,completed,0.0002,100,easy,0.8,keep_last,0.0,0.6885033845901489,0.002433567540720105,80,20,19.999999999999996
reasoning_token_waste_t0059,completed,0.0001,100,easy,0.9,keep_last,0.0,0.6792806386947632,0.0025056202430278063,90,10,9.999999999999998
reasoning_token_waste_t0060,completed,0.0001,100,easy,1.0,keep_last,1.0,0.9710813164710999,0.00022592746245209128,100,0,0.0
reasoning_token_waste_t0061,completed,0.0001,100,easy,0.1,remove_middle,1.0,0.9795091152191162,0.00016008582315407693,10,90,90.0
reasoning_token_waste_t0062,completed,0.0001,100,easy,0.2,remove_middle,1.0,0.9748995304107666,0.00019609823357313871,20,80,80.0
reasoning_token_waste_t0063,completed,0.0002,100,easy,0.3,remove_middle,1.0,0.968353271484375,0.00024724024115130305,30,70,70.0
reasoning_token_waste_t0064,completed,0.0001,100,easy,0.4,remove_middle,1.0,0.9666011929512024,0.00026092800544574857,40,60,60.0
reasoning_token_waste_t0065,completed,0.0001,100,easy,0.5,remove_middle,1.0,0.9616925120353699,0.00029927739524282515,50,50,50.0
reasoning_token_waste_t0066,completed,0.0001,100,easy,0.6,remove_middle,1.0,0.957820475101471,0.00032952826586551964,60,40,40.0
reasoning_token_waste_t0067,completed,0.0002,100,easy,0.7,remove_middle,1.0,0.9550139904022217,0.0003514528798405081,70,30,30.000000000000004
reasoning_token_waste_t0068,completed,0.0001,100,easy,0.8,remove_middle,1.0,0.9570454359054565,0.00033558328868821263,80,20,19.999999999999996
reasoning_token_waste_t0069,completed,0.0001,100,easy,0.9,remove_middle,1.0,0.9610192775726318,0.00030453733052127063,90,10,9.999999999999998
reasoning_token_waste_t0070,completed,0.0001,100,easy,1.0,remove_middle,1.0,0.9710813164710999,0.00022592746245209128,100,0,0.0
reasoning_token_waste_t0071,completed,0.0002,100,easy,0.1,importance_sample,1.0,0.968462347984314,0.00024638816830702126,10,90,90.0
reasoning_token_waste_t0072,completed,0.0003,100,easy,0.2,importance_sample,1.0,0.9820159673690796,0.00014050034224055707,20,80,80.0
reasoning_token_waste_t0073,completed,0.0002,100,easy,0.3,importance_sample,1.0,0.9845441579818726,0.00012074899859726429,30,70,70.0
reasoning_token_waste_t0074,completed,0.0002,100,easy,0.4,importance_sample,1.0,0.9813645482063293,0.00014559010742232203,40,60,60.0
reasoning_token_waste_t0075,completed,0.0002,100,easy,0.5,importance_sample,1.0,0.9791042804718018,0.00016324903117492795,50,50,50.0
reasoning_token_waste_t0076,completed,0.0002,100,easy,0.6,importance_sample,1.0,0.9762211441993713,0.00018577184528112411,60,40,40.0
reasoning_token_waste_t0077,completed,0.0002,100,easy,0.7,importance_sample,1.0,0.9732959270477295,0.00020862487144768238,70,30,30.000000000000004
reasoning_token_waste_t0078,completed,0.0004,100,easy,0.8,importance_sample,1.0,0.9720268249511719,0.00021854029910173267,80,20,19.999999999999996
reasoning_token_waste_t0079,completed,0.0003,100,easy,0.9,importance_sample,1.0,0.9681133031845093,0.00024911470245569944,90,10,9.999999999999998
reasoning_token_waste_t0080,completed,0.0002,100,easy,1.0,importance_sample,1.0,0.9710813164710999,0.00022592746245209128,100,0,0.0
reasoning_token_waste_t0081,completed,0.0001,200,easy,0.1,keep_first,1.0,0.9894232749938965,8.263149356935173e-05,20,180,90.0
reasoning_token_waste_t0082,completed,0.0001,200,easy,0.2,keep_first,1.0,0.9973757266998291,2.0503202904365025e-05,40,160,80.0
reasoning_token_waste_t0083,completed,0.0001,200,easy,0.3,keep_first,1.0,1.0000001192092896,0.0,60,140,70.0
reasoning_token_waste_t0084,completed,0.0001,200,easy,0.4,keep_first,1.0,0.9872860908508301,9.932798275258392e-05,80,120,60.0
reasoning_token_waste_t0085,completed,0.0001,200,easy,0.5,keep_first,1.0,0.9749208688735962,0.00019593146862462163,100,100,50.0
reasoning_token_waste_t0086,completed,0.0001,200,easy,0.6,keep_first,1.0,0.9618072509765625,0.0002983810845762491,120,80,40.0
reasoning_token_waste_t0087,completed,0.0002,200,easy,0.7,keep_first,1.0,0.9553616046905518,0.00034873784170486033,140,60,30.000000000000004
reasoning_token_waste_t0088,completed,0.0002,200,easy,0.8,keep_first,1.0,0.9516939520835876,0.00037739163963124156,160,40,19.999999999999996
reasoning_token_waste_t0089,completed,0.0001,200,easy,0.9,keep_first,0.0,0.9394886493682861,0.0004727449850179255,180,20,9.999999999999998
reasoning_token_waste_t0090,completed,0.0001,200,easy,1.0,keep_first,0.0,0.9400327205657959,0.0004684951563831419,200,0,0.0
reasoning_token_waste_t0091,completed,0.0001,200,easy,0.1,keep_last,0.0,0.42921239137649536,0.004459278658032417,20,180,90.0
reasoning_token_waste_t0092,completed,0.0001,200,easy,0.2,keep_last,0.0,0.33561432361602783,0.0051905130967497826,40,160,80.0
reasoning_token_waste_t0093,completed,0.0001,200,easy,0.3,keep_last,0.0,0.3376683294773102,0.005174466874450445,60,140,70.0
reasoning_token_waste_t0094,completed,0.0001,200,easy,0.4,keep_last,0.0,0.5273195505142212,0.0036928164772689342,80,120,60.0
reasoning_token_waste_t0095,completed,0.0001,200,easy,0.5,keep_last,0.0,0.46430790424346924,0.004185095429420471,100,100,50.0
reasoning_token_waste_t0096,completed,0.0001,200,easy,0.6,keep_last,0.0,0.4331899881362915,0.004428203217685223,120,80,40.0
reasoning_token_waste_t0097,completed,0.0002,200,easy,0.7,keep_last,0.0,0.5565594434738159,0.003464380046352744,140,60,30.000000000000004
reasoning_token_waste_t0098,completed,0.0002,200,easy,0.8,keep_last,0.0,0.5548715591430664,0.003477566409856081,160,40,19.999999999999996
reasoning_token_waste_t0099,completed,0.0002,200,easy,0.9,keep_last,0.0,0.5744972229003906,0.0033242409117519855,180,20,9.999999999999998
reasoning_token_waste_t0100,completed,0.0001,200,easy,1.0,keep_last,0.0,0.9400327205657959,0.0004684951563831419,200,0,0.0
reasoning_token_waste_t0101,completed,0.0001,200,easy,0.1,remove_middle,1.0,0.9894232749938965,8.263149356935173e-05,20,180,90.0
reasoning_token_waste_t0102,completed,0.0001,200,easy,0.2,remove_middle,1.0,0.9736765027046204,0.0002056536905001849,40,160,80.0
reasoning_token_waste_t0103,completed,0.0001,200,easy,0.3,remove_middle,1.0,0.9574465751647949,0.000332449097186327,60,140,70.0
reasoning_token_waste_t0104,completed,0.0001,200,easy,0.4,remove_middle,1.0,0.9559723734855652,0.0003439667052589357,80,120,60.0
reasoning_token_waste_t0105,completed,0.0001,200,easy,0.5,remove_middle,1.0,0.9523652791976929,0.00037214712938293815,100,100,50.0
reasoning_token_waste_t0106,completed,0.0002,200,easy,0.6,remove_middle,0.0,0.9386959671974182,0.0004789392405655235,120,80,40.0
reasoning_token_waste_t0107,completed,0.0002,200,easy,0.7,remove_middle,0.0,0.9319135546684265,0.0005319264018908143,140,60,30.000000000000004
reasoning_token_waste_t0108,completed,0.0002,200,easy,0.8,remove_middle,0.0,0.9302014708518982,0.0005453011835925281,160,40,19.999999999999996
reasoning_token_waste_t0109,completed,0.0004,200,easy,0.9,remove_middle,0.0,0.9309320449829102,0.0005395932821556926,180,20,9.999999999999998
reasoning_token_waste_t0110,completed,0.0002,200,easy,1.0,remove_middle,0.0,0.9400327205657959,0.0004684951563831419,200,0,0.0
reasoning_token_waste_t0111,completed,0.0002,200,easy,0.1,importance_sample,1.0,0.9741081595420837,0.00020228020730428398,20,180,90.0
reasoning_token_waste_t0112,completed,0.0002,200,easy,0.2,importance_sample,1.0,0.9714813828468323,0.0002228025405202061,40,160,80.0
reasoning_token_waste_t0113,completed,0.0002,200,easy,0.3,importance_sample,1.0,0.96454918384552,0.00027696011238731444,60,140,70.0
reasoning_token_waste_t0114,completed,0.0002,200,easy,0.4,importance_sample,1.0,0.9601755142211914,0.0003111296973656863,80,120,60.0
reasoning_token_waste_t0115,completed,0.0002,200,easy,0.5,importance_sample,1.0,0.9528215527534485,0.00036858164821751416,100,100,50.0
reasoning_token_waste_t0116,completed,0.0003,200,easy,0.6,importance_sample,0.0,0.9450695514678955,0.0004291435470804572,120,80,40.0
reasoning_token_waste_t0117,completed,0.0003,200,easy,0.7,importance_sample,0.0,0.9327272176742554,0.0005255687865428627,140,60,30.000000000000004
reasoning_token_waste_t0118,completed,0.0002,200,easy,0.8,importance_sample,0.0,0.9298757314682007,0.000547846604604274,160,40,19.999999999999996
reasoning_token_waste_t0119,completed,0.0002,200,easy,0.9,importance_sample,0.0,0.9396505951881409,0.00047147972509264946,180,20,9.999999999999998
reasoning_token_waste_t0120,completed,0.0002,200,easy,1.0,importance_sample,0.0,0.9400327205657959,0.0004684951563831419,200,0,0.0
reasoning_token_waste_t0121,completed,0.0001,500,easy,0.1,keep_first,1.0,0.9952153563499451,3.7380403227871284e-05,50,450,90.0
reasoning_token_waste_t0122,completed,0.0001,500,easy,0.2,keep_first,1.0,0.9988637566566467,8.877623258740641e-06,100,400,80.0
reasoning_token_waste_t0123,completed,0.0001,500,easy,0.3,keep_first,1.0,1.0000001192092896,0.0,150,350,70.0
reasoning_token_waste_t0124,completed,0.0001,500,easy,0.4,keep_first,1.0,0.9689838886260986,0.00024231398128904402,200,300,60.0
reasoning_token_waste_t0125,completed,0.0001,500,easy,0.5,keep_first,0.0,0.9420808553695679,0.00045249430695548654,250,250,50.0
reasoning_token_waste_t0126,completed,0.0002,500,easy,0.6,keep_first,0.0,0.925652027130127,0.0005808441783301532,300,200,40.0
reasoning_token_waste_t0127,completed,0.0002,500,easy,0.7,keep_first,0.0,0.9050003290176392,0.0007421852787956595,350,150,30.000000000000004
reasoning_token_waste_t0128,completed,0.0001,500,easy,0.8,keep_first,0.0,0.8938596248626709,0.0008292222046293318,400,100,19.999999999999996
reasoning_token_waste_t0129,completed,0.0001,500,easy,0.9,keep_first,0.0,0.8774253129959106,0.0009576157899573445,450,50,9.999999999999998
reasoning_token_waste_t0130,completed,0.0002,500,easy,1.0,keep_first,0.0,0.8705005645751953,0.0010117151541635394,500,0,0.0
reasoning_token_waste_t0131,completed,0.0001,500,easy,0.1,keep_last,0.0,0.30891647934913635,0.005399090237915516,50,450,90.0
reasoning_token_waste_t0132,completed,0.0001,500,easy,0.2,keep_last,0.0,0.24454252421855927,0.005902011878788471,100,400,80.0
reasoning_token_waste_t0133,completed,0.0001,500,easy,0.3,keep_last,0.0,0.2357446700334549,0.0059707448817789555,150,350,70.0
reasoning_token_waste_t0134,completed,0.0002,500,easy,0.4,keep_last,0.0,0.38103657960891724,0.004835652653127909,200,300,60.0
reasoning_token_waste_t0135,completed,0.0001,500,easy,0.5,keep_last,0.0,0.366340309381485,0.0049504670314490795,250,250,50.0
reasoning_token_waste_t0136,completed,0.0003,500,easy,0.6,keep_last,0.0,0.35857436060905457,0.0050111375749111176,300,200,40.0
reasoning_token_waste_t0137,completed,0.0002,500,easy,0.7,keep_last,0.0,0.43116867542266846,0.004443995654582977,350,150,30.000000000000004
reasoning_token_waste_t0138,completed,0.0002,500,easy,0.8,keep_last,0.0,0.4350259304046631,0.004413860384374857,400,100,19.999999999999996
reasoning_token_waste_t0139,completed,0.0002,500,easy,0.9,keep_last,0.0,0.44570183753967285,0.0043304553255438805,450,50,9.999999999999998
reasoning_token_waste_t0140,completed,0.0002,500,easy,1.0,keep_last,0.0,0.8705005645751953,0.0010117151541635394,500,0,0.0
reasoning_token_waste_t0141,completed,0.0002,500,easy,0.1,remove_middle,1.0,0.9952153563499451,3.7380403227871284e-05,50,450,90.0
reasoning_token_waste_t0142,completed,0.0001,500,easy,0.2,remove_middle,1.0,0.9631555676460266,0.0002878475934267044,100,400,80.0
reasoning_token_waste_t0143,completed,0.0002,500,easy,0.3,remove_middle,0.0,0.9322706460952759,0.0005291369743645191,150,350,70.0
reasoning_token_waste_t0144,completed,0.0002,500,easy,0.4,remove_middle,0.0,0.902660071849823,0.0007604688289575279,200,300,60.0
reasoning_token_waste_t0145,completed,0.0002,500,easy,0.5,remove_middle,0.0,0.8952842950820923,0.0008180927252396941,250,250,50.0
reasoning_token_waste_t0146,completed,0.0002,500,easy,0.6,remove_middle,0.0,0.8815909028053284,0.0009250713046640158,300,200,40.0
reasoning_token_waste_t0147,completed,0.0002,500,easy,0.7,remove_middle,0.0,0.8653273582458496,0.0010521304793655872,350,150,30.000000000000004
reasoning_token_waste_t0148,completed,0.0002,500,easy,0.8,remove_middle,0.0,0.8648219108581543,0.0010560795199126005,400,100,19.999999999999996
reasoning_token_waste_t0149,completed,0.0002,500,easy,0.9,remove_middle,0.0,0.8659391403198242,0.001047351281158626,450,50,9.999999999999998
reasoning_token_waste_t0150,completed,0.0002,500,easy,1.0,remove_middle,0.0,0.8705005645751953,0.0010117151541635394,500,0,0.0
reasoning_token_waste_t0151,completed,0.0002,500,easy,0.1,importance_sample,1.0,0.9673250913619995,0.0002552733931224793,50,450,90.0
reasoning_token_waste_t0152,completed,0.0002,500,easy,0.2,importance_sample,0.0,0.9487516283988953,0.00040037912549450994,100,400,80.0
reasoning_token_waste_t0153,completed,0.0002,500,easy,0.3,importance_sample,0.0,0.9303345680236816,0.000544261303730309,150,350,70.0
reasoning_token_waste_t0154,completed,0.0002,500,easy,0.4,importance_sample,0.0,0.9039455652236938,0.0007504259701818228,200,300,60.0
reasoning_token_waste_t0155,completed,0.0002,500,easy,0.5,importance_sample,0.0,0.8958883881568909,0.0008133724913932383,250,250,50.0
reasoning_token_waste_t0156,completed,0.0002,500,easy,0.6,importance_sample,0.0,0.8736787438392639,0.0009868855122476816,300,200,40.0
reasoning_token_waste_t0157,completed,0.0003,500,easy,0.7,importance_sample,0.0,0.8679426908493042,0.0010316987754777074,350,150,30.000000000000004
reasoning_token_waste_t0158,completed,0.0002,500,easy,0.8,importance_sample,0.0,0.8648219108581543,0.0010560795199126005,400,100,19.999999999999996
reasoning_token_waste_t0159,completed,0.0004,500,easy,0.9,importance_sample,0.0,0.8695093393325806,0.001019459217786789,450,50,9.999999999999998
